iter	Passed	Remaining
0	8	2583
1	16	2409
2	23	2313
3	28	2144
4	36	2146
5	42	2084
6	49	2084
7	56	2049
8	62	2029
9	68	1980
10	74	1952
11	80	1941
12	89	1974
13	96	1966
14	103	1957
15	109	1949
16	116	1946
17	122	1924
18	129	1913
19	135	1899
20	142	1894
21	149	1885
22	155	1876
23	162	1872
24	168	1857
25	175	1845
26	181	1835
27	186	1816
28	193	1804
29	197	1781
30	203	1765
31	207	1739
32	213	1727
33	219	1713
34	225	1704
35	230	1687
36	235	1674
37	241	1665
38	247	1654
39	252	1641
40	257	1629
41	263	1618
42	267	1600
43	272	1587
44	278	1579
45	283	1564
46	288	1555
47	294	1547
48	300	1537
49	306	1530
50	311	1521
51	316	1509
52	321	1498
53	325	1485
54	331	1476
55	336	1466
56	342	1461
57	347	1450
58	352	1441
59	358	1432
60	363	1422
61	368	1415
62	374	1409
63	380	1402
64	385	1394
65	390	1386
66	396	1379
67	402	1372
68	407	1364
69	412	1355
70	417	1346
71	422	1338
72	428	1333
73	433	1323
74	439	1318
75	444	1311
76	450	1305
77	455	1297
78	461	1291
79	466	1283
80	472	1278
81	477	1269
82	483	1263
83	488	1256
84	493	1248
85	498	1239
86	503	1232
87	508	1223
88	513	1216
89	517	1207
90	522	1200
91	526	1190
92	532	1185
93	537	1178
94	542	1170
95	546	1162
96	552	1155
97	557	1148
98	562	1143
99	567	1135
100	571	1126
101	576	1118
102	580	1110
103	585	1103
104	589	1095
105	593	1087
106	599	1080
107	604	1074
108	609	1067
109	613	1060
110	618	1053
111	623	1046
112	628	1040
113	633	1032
114	638	1027
115	642	1018
116	647	1012
117	652	1006
118	657	999
119	661	992
120	666	986
121	671	980
122	676	973
123	681	967
124	685	959
125	690	953
126	696	949
127	701	942
128	707	937
129	711	930
130	716	924
131	721	917
132	726	912
133	731	906
134	736	900
135	742	894
136	748	890
137	753	884
138	758	878
139	763	872
140	769	867
141	773	860
142	778	854
143	781	846
144	786	841
145	792	835
146	796	829
147	802	824
148	808	819
149	812	812
150	818	807
151	823	801
152	827	795
153	832	789
154	837	783
155	843	778
156	849	773
157	854	768
158	858	761
159	864	756
160	870	751
161	874	744
162	880	739
163	885	734
164	890	728
165	895	722
166	899	716
167	905	711
168	910	705
169	915	699
170	919	693
171	924	687
172	929	682
173	934	676
174	939	670
175	944	665
176	949	660
177	954	654
178	959	648
179	963	642
180	967	636
181	972	630
182	976	624
183	982	619
184	988	614
185	993	609
186	999	603
187	1004	598
188	1009	593
189	1012	586
190	1018	581
191	1022	575
192	1027	569
193	1033	564
194	1038	559
195	1041	552
196	1045	546
197	1050	541
198	1055	535
199	1058	529
200	1064	524
201	1067	518
202	1073	513
203	1078	507
204	1083	502
205	1088	496
206	1094	491
207	1097	485
208	1102	480
209	1107	474
210	1110	468
211	1115	463
212	1119	457
213	1123	451
214	1130	446
215	1136	441
216	1142	437
217	1148	432
218	1156	427
219	1160	421
220	1165	416
221	1170	411
222	1174	405
223	1179	400
224	1183	394
225	1188	389
226	1191	383
227	1197	378
228	1201	372
229	1206	367
230	1211	362
231	1216	356
232	1222	351
233	1226	346
234	1231	340
235	1236	335
236	1241	329
237	1245	324
238	1250	319
239	1253	313
240	1257	307
241	1262	302
242	1267	297
243	1274	292
244	1285	288
245	1290	283
246	1296	278
247	1301	272
248	1307	267
249	1312	262
250	1316	257
251	1322	251
252	1327	246
253	1330	240
254	1335	235
255	1340	230
256	1346	225
257	1350	219
258	1355	214
259	1360	209
260	1365	204
261	1370	198
262	1376	193
263	1380	188
264	1385	182
265	1389	177
266	1394	172
267	1398	166
268	1401	161
269	1406	156
270	1410	150
271	1415	145
272	1419	140
273	1423	135
274	1428	129
275	1433	124
276	1437	119
277	1440	114
278	1446	108
279	1451	103
280	1455	98
281	1459	93
282	1464	88
283	1469	82
284	1474	77
285	1477	72
286	1483	67
287	1487	61
288	1492	56
289	1497	51
290	1502	46
291	1507	41
292	1512	36
293	1516	30
294	1520	25
295	1524	20
296	1529	15
297	1533	10
298	1539	5
299	1542	0
