DATE,FIPS,DS_TEMP_VARIATION_PREVIOUS_DAY,DS_DAILY_CLOUDCOVER,DS_WEATHER_ICON,DS_DAILY_LOW_TEMP,DS_DAILY_HIGH_TEMP,DS_DAILY_TOTAL_RAINFALL,STORE_BRAND_ID,TOTAL_TRAFFIC,DINEIN_TRAFFIC,DRIVETHRU_TRAFFIC
11/21/20,6077,-1.12,0.18,clear-day,32.24,62.27,0.00003,3-1100801,258,9,218
11/21/20,6077,-1.12,0.18,clear-day,32.24,62.27,0.00003,3-1100308,311,4,238
11/22/20,6077,3.26,0.26,clear-day,32.62,65.53,0.00005,3-1100801,225,7,197
11/22/20,6077,3.26,0.26,clear-day,32.62,65.53,0.00005,3-1100308,246,0,186
11/27/20,6077,-2.07,0.05,clear-day,32.25,63.9,0.00002,3-1100801,227,5,189
11/27/20,6077,-2.07,0.05,clear-day,32.25,63.9,0.00002,3-1100308,242,0,179
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,1-550,96,29,0
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,Jan-70,112,59,0
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,1-1256,100,17,40
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,1-1688,119,68,0
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,Jan-39,117,5,63
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,1-522,169,98,0
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,Feb-34,205,0,193
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,2-248,210,0,204
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,Jan-33,99,43,24
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,Feb-90,63,21,0
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,1-819,74,38,0
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,2-738,260,7,221
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,3-Feb,214,0,210
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,2-280,235,0,227
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,25-Feb,230,0,225
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,Feb-67,378,6,364
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,2-933,367,0,355
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,2-289,195,0,187
11/21/20,18097,-12.16,0.88,rain,44.16,53.89,0.00323,15-Feb,247,0,226
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,1-550,72,22,0
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,Jan-70,96,53,0
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,1-1256,57,11,25
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,1-1688,101,63,0
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,Jan-39,83,5,42
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,1-522,134,78,0
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,Feb-34,221,0,209
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,2-248,144,0,141
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,Jan-33,64,20,15
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,Feb-90,81,26,0
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,1-819,65,31,0
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,2-738,200,10,172
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,3-Feb,148,0,137
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,2-280,182,0,178
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,25-Feb,209,0,204
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,Feb-67,275,0,268
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,2-933,245,0,237
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,2-289,115,0,105
11/22/20,18097,-8.97,0.97,rain,36.69,44.92,0.03888,15-Feb,181,0,164
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,1-550,97,32,0
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,Jan-70,92,47,0
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,1-1256,95,15,42
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,1-1688,107,58,0
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,Jan-39,89,12,45
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,1-522,85,46,0
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,Feb-34,160,0,159
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,2-248,148,0,147
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,Jan-33,65,23,20
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,Feb-90,46,16,0
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,1-819,45,30,0
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,2-738,211,10,176
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,3-Feb,121,0,120
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,2-280,211,0,178
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,25-Feb,199,0,196
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,Feb-67,271,1,266
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,2-933,308,0,292
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,2-289,132,0,131
11/27/20,18097,0.54,0.65,rain,40.46,52.25,0.00031,15-Feb,201,0,194
11/21/20,24031,1.48,0.43,partly-cloudy-day,44.31,65.54,0.00002,Jan-87,102,72,0
11/21/20,24031,1.48,0.43,partly-cloudy-day,44.31,65.54,0.00002,May-63,348,296,0
11/21/20,24031,1.48,0.43,partly-cloudy-day,44.31,65.54,0.00002,2-610,339,0,305
11/22/20,24031,-9.01,0.82,partly-cloudy-day,48.68,56.53,0.00007,Jan-87,88,54,0
11/22/20,24031,-9.01,0.82,partly-cloudy-day,48.68,56.53,0.00007,May-63,387,350,0
11/22/20,24031,-9.01,0.82,partly-cloudy-day,48.68,56.53,0.00007,2-610,336,0,301
11/27/20,24031,-7.23,0.6,partly-cloudy-day,48.65,60.34,0.00005,Jan-87,63,39,0
11/27/20,24031,-7.23,0.6,partly-cloudy-day,48.65,60.34,0.00005,May-63,216,181,0
11/27/20,24031,-7.23,0.6,partly-cloudy-day,48.65,60.34,0.00005,2-610,257,1,237
11/21/20,25025,-2.51,0.33,partly-cloudy-day,46.78,59.85,0.00006,1-Jan,56,31,0
11/22/20,25025,-10.18,0.76,partly-cloudy-day,39.21,49.67,0.00024,1-Jan,45,30,0
11/27/20,25025,-3.7,0.53,rain,44.81,55.19,0.00036,1-Jan,40,32,0
11/21/20,42091,0.72,0.36,partly-cloudy-day,42.91,64.75,0.00006,May-61,423,316,0
11/21/20,42091,0.72,0.36,partly-cloudy-day,42.91,64.75,0.00006,5-102,361,280,0
11/21/20,42091,0.72,0.36,partly-cloudy-day,42.91,64.75,0.00006,Feb-77,251,0,243
11/21/20,42091,0.72,0.36,partly-cloudy-day,42.91,64.75,0.00006,Feb-44,281,0,272
11/21/20,42091,0.72,0.36,partly-cloudy-day,42.91,64.75,0.00006,Feb-97,436,0,425
11/21/20,42091,0.72,0.36,partly-cloudy-day,42.91,64.75,0.00006,5-103,334,243,0
11/22/20,42091,-8.26,0.88,rain,45.15,56.49,0.0007,May-61,288,212,0
11/22/20,42091,-8.26,0.88,rain,45.15,56.49,0.0007,5-102,260,199,0
11/22/20,42091,-8.26,0.88,rain,45.15,56.49,0.0007,Feb-77,225,0,211
11/22/20,42091,-8.26,0.88,rain,45.15,56.49,0.0007,Feb-44,232,0,217
11/22/20,42091,-8.26,0.88,rain,45.15,56.49,0.0007,Feb-97,392,0,363
11/22/20,42091,-8.26,0.88,rain,45.15,56.49,0.0007,5-103,276,222,0
11/27/20,42091,-6.52,0.34,partly-cloudy-day,45.73,59.32,0.00016,May-61,259,188,0
11/27/20,42091,-6.52,0.34,partly-cloudy-day,45.73,59.32,0.00016,5-102,234,177,0
11/27/20,42091,-6.52,0.34,partly-cloudy-day,45.73,59.32,0.00016,Feb-77,182,0,179
11/27/20,42091,-6.52,0.34,partly-cloudy-day,45.73,59.32,0.00016,Feb-44,187,0,179
11/27/20,42091,-6.52,0.34,partly-cloudy-day,45.73,59.32,0.00016,Feb-97,387,0,384
11/27/20,42091,-6.52,0.34,partly-cloudy-day,45.73,59.32,0.00016,5-103,269,218,0
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,1-852,95,0,77
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,3-Jan,47,24,0
11/21/20,39035,-11.04,0.73,partly-cloudy-day,35.19,50.73,0.00022,Jan-85,32,31,0
